,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
0,0.03438113,0.033432454,0.03531219,0.034787565,0.12687217,0.13103619,0.12372909,0.14344966,0.047309194,0.04616009,0.053830948,0.04483121,0.03565914,0.038484354,0.034887202,0.03583728
1,0.018428886,0.018557278,0.019625349,0.019429026,0.046896487,0.049045257,0.05232447,0.053492893,0.10624941,0.09648357,0.111001246,0.09215233,0.08101224,0.07547224,0.08019459,0.07963466
2,0.067714654,0.069991805,0.0697605,0.07023771,0.026289409,0.026073687,0.027989088,0.027890505,0.062090445,0.06013007,0.06439375,0.058649197,0.094707824,0.09037291,0.09096823,0.09274006
3,0.039158806,0.039533123,0.039591257,0.03859674,0.055696372,0.05607651,0.057221785,0.05683376,0.05701061,0.055355854,0.059359822,0.053338084,0.09914335,0.09665056,0.09828449,0.09814881
4,0.060874227,0.06141038,0.061480768,0.06197308,0.09139195,0.09135663,0.08990242,0.09748002,0.05876578,0.05576495,0.061825514,0.055580698,0.03775187,0.039082233,0.037513465,0.037845917
5,0.069111094,0.06964092,0.06912983,0.068773426,0.051808566,0.053422183,0.055916525,0.05672848,0.09588629,0.087266594,0.09543966,0.08642727,0.035812084,0.03427037,0.03437651,0.035990097
6,0.082999855,0.083235435,0.08417035,0.083217025,0.05487096,0.056946628,0.054547857,0.055548705,0.033732664,0.03261033,0.034836844,0.032554615,0.07590742,0.08003974,0.075752065,0.07902961
7,0.031627472,0.030179298,0.033185214,0.032447048,0.13292369,0.14206891,0.13058424,0.1472413,0.028625611,0.028801061,0.033362113,0.027982483,0.048228048,0.053901326,0.048905626,0.04993645
8,0.06261087,0.061717384,0.06096217,0.061691776,0.094760634,0.09620772,0.097760804,0.102194875,0.07647996,0.06723633,0.08109055,0.068059325,0.017188992,0.01805715,0.016512766,0.017468572
9,0.0458932,0.046131868,0.046387095,0.04511462,0.0866769,0.088872395,0.084452026,0.089665286,0.04620766,0.04359475,0.04770532,0.04361075,0.06991305,0.072891794,0.07059748,0.07228564
10,0.08608144,0.08808402,0.08629836,0.08577121,0.056320745,0.05648108,0.060200203,0.05886404,0.091289766,0.08091376,0.0925891,0.08095863,0.019348972,0.019344479,0.018116297,0.019338017
11,0.03595423,0.03571635,0.036567874,0.03573601,0.06218172,0.064345285,0.06509838,0.065569215,0.07786251,0.0736172,0.08062829,0.07145512,0.07382787,0.07249083,0.07455405,0.074395075
